Name,Artist,Album,Track Number
Nothing Better,The Postal Service,Give Up,4
Love Is Blindness,Jack White,Sixteen Saltines,2
Silver Springs,Lykke Li,Just Tell Me That You Want Me: A Tribute To Fleetwood Mac,8
Your Ex-Lover Is Dead,Stars,Set Yourself on Fire,1
Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare,7
Too Much To Ask (B Side),Arctic Monkeys,Fluorescent Adolescent,4
Never Going Back Again,Fleetwood Mac,Rumours (Deluxe),3
Go Your Own Way,Fleetwood Mac,Rumours (Deluxe),5
Dreams,Fleetwood Mac,Rumours (Deluxe),2
Silver Springs,Fleetwood Mac,Rumours (Deluxe),12
Crown of Love,Arcade Fire,Funeral,6
"Love Will Tear Us Apart (12"" Version)",Joy Division,Love Will Tear Us Apart,3
What Ever Happened?,The Strokes,Room On Fire,1
I Have Loved You Wrong,The Swell Season,Strict Joy,9
All My Little Words,The Magnetic Fields,69 Love Songs,3
Love Is Blindness,U2,Achtung Baby,12
Black,Pearl Jam,Ten,5
Requiem for O.M.M. 2,of Montreal,The Sunlandic Twins,1
Love Will Come Through (SIA Charity Single),Travis,12 Memories,8
Displaced,Azure Ray,Azure Ray,2
Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,Singles Going Steady,5
Promises,Buzzcocks,Singles Going Steady,6
Next Girl,The Black Keys,Brothers,2
She's Long Gone,The Black Keys,Brothers,5
Too Afraid To Love You,The Black Keys,Brothers,8
Summer Skin,Death Cab for Cutie,Plans,3
I Will Possess Your Heart (Radio Edit),Death Cab for Cutie,Narrow Stairs,12
I've Been Loving You Too Long,Otis Redding,Essentials: Otis Redding,2
Sunset,The xx,Coexist,6
