Name,Artist,Album,Track Number
Rhymin & Stealin,Beastie Boys,Licensed To Ill,1
The New Style,Beastie Boys,Licensed To Ill,2
She's Crafty,Beastie Boys,Licensed To Ill,3
Posse In Effect,Beastie Boys,Licensed To Ill,4
Slow Ride,Beastie Boys,Licensed To Ill,5
Girls,Beastie Boys,Licensed To Ill,6
Fight For Your Right,Beastie Boys,Licensed To Ill,7
No Sleep Till Brooklyn,Beastie Boys,Licensed To Ill,8
Paul Revere,Beastie Boys,Licensed To Ill,9
"Hold It Now, Hit It",Beastie Boys,Licensed To Ill,10
Brass Monkey,Beastie Boys,Licensed To Ill,11
Slow And Low,Beastie Boys,Licensed To Ill,12
Time To Get Ill,Beastie Boys,Licensed To Ill,13
To All The Girls,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),1
Shake Your Rump,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),2
Johnny Ryall,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),3
Egg Man,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),4
High Plains Drifter,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),5
The Sounds Of Science,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),6
3-Minute Rule,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),7
Hey Ladies,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),8
5-Piece Chicken Dinner (Instrumental),Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),9
Looking Down The Barrel Of A Gun,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),10
Car Thief,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),11
What Comes Around,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),12
Shadrach,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),13
Ask For Janice,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),14
B-Boy Bouillabaisse: 59 Chrystie Street,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),15
B-Boy Bouillabaisse: Get On The Mic,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),16
B-Boy Bouillabaisse: Stop That Train,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),17
