Name,Artist,Album,Track Number
More Than a Feeling,Boston,Boston,1
Rock & Roll Band,Boston,Boston,4
Foreplay / Long Time,Boston,Boston,3
Amanda,Boston,Third Stage,1
Money For Nothing,Dire Straits,Brothers In Arms,2
Sultans Of Swing,Dire Straits,Dire Straits (Remastered),6
The Boys Of Summer,Don Henley,The Very Best Of,2
Two Tickets to Paradise,Eddie Money,Eddie Money,1
Take Me Home Tonight,Eddie Money,The Essential Eddie Money,10
Feels Like The First Time,Foreigner,Foreigner [Expanded],1
Cold As Ice,Foreigner,Foreigner [Expanded],2
Head Games,Foreigner,Head Games,6
Hot Blooded,Foreigner,No End In Sight: The Very Best Of Foreigner,8
Heartbreaker,Pat Benatar,In The Heat Of The Night,1
Keep on Loving You,REO Speedwagon,Hi Infidelity,2
Take It on the Run,REO Speedwagon,Hi Infidelity,5
No One Like You,Scorpions,Blackout,3
Still Loving You,Scorpions,Bad For Good: The Very Best Of Scorpions,6
Stop Draggin' My Heart Around (with Tom Petty and the Heartbreakers),Stevie Nicks,Timespace - The Best Of Stevie Nicks,2
American Girl,Tom Petty and the Heartbreakers,Tom Petty & The Heartbreakers,10
Refugee,Tom Petty and the Heartbreakers,Greatest Hits,5
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Greatest Hits,17
Free Fallin',Tom Petty and the Heartbreakers,Greatest Hits,14
You Really Got Me,Van Halen,Van Halen,3
(Oh) Pretty Woman,Van Halen,Diver Down,6
Dance The Night Away,Van Halen,Van Halen II,2
Why Can't This Be Love,Van Halen,Best Of Volume 1,9
Can't Stop Lovin' You,Van Halen,Best Of Volume 1,14
Don't Tell Me [What Love Can Do],Van Halen,Balance,3
Right Now,Van Halen,Best Of Volume 1,13
Love Walks In,Van Halen,5150,7
Any Way You Want It,Journey,The Essential Journey,5
Separate Ways (Worlds Apart),Journey,Greatest Hits,9
You Don't Know How It Feels,Tom Petty,Wildflowers,2
"Paint It, Black",The Rolling Stones,Hot Rocks (1964-1971) (Remastered),9
Sympathy For The Devil,The Rolling Stones,Hot Rocks (1964-1971) (Remastered),15
Gimme Shelter,The Rolling Stones,Hot Rocks (1964-1971) (Remastered),17
Jumpin' Jack Flash,The Rolling Stones,Hot Rocks (1964-1971) (Remastered),13
Wild Horses,The Rolling Stones,Hot Rocks (1964-1971) (Remastered),21
War Pigs (Live At The Rainbow Theatre/1973),Black Sabbath,Past Lives,7
Iron Man,Black Sabbath,Past Lives,14
"Oh, Pretty Woman (Album Version)",Roy Orbison,The Essential Roy Orbison,21
Dream On,Aerosmith,Aerosmith's Greatest Hits,1
