Name,Artist,Album,Track Number
Home,Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,6
Cavalier Eternal,Against Me!,The Original Cowboy,5
Heartilation,Andrew Jackson Jihad,Can't Maintain,1
Ladykiller,Andrew Jackson Jihad,"Candy Cigarettes, Capguns, Issue Problems! and Such",8
The Suburbs,Arcade Fire,The Suburbs,1
City With No Children,Arcade Fire,The Suburbs,6
Love Letter To Japan,The Bird and the Bee,Ray Guns Are Not Just The Future,6
Another Travelin' Song,Bright Eyes,I'm Wide Awake It's Morning,7
The Ghost Inside,Broken Bells,Broken Bells,4
The Skin of My Yellow Country Teeth,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,6
West Coast,Coconut Records,Nighttiming,2
Monday Morning,Death Cab for Cutie,Codes and Keys,7
O Valencia!,The Decemberists,The Crane Wife,4
Don't Carry It All,The Decemberists,The King Is Dead,1
Lonesome,Dr. Dog,Be The Void,1
Misfit,Elefant,Sunlight Makes Me Paranoid,3
I Feel It All,Feist,The Reminder,2
Mushaboom,Feist,Let It Die,2
Ragged Wood,Fleet Foxes,Fleet Foxes,3
Hiphopopotamus vs. Rhymenoceros [feat. Rhymenocerous and the Hiphopopotamus],Flight Of The Conchords,Flight Of The Conchords,3
The Most Beautiful Girl [In The Room],Flight Of The Conchords,Flight Of The Conchords,12
Pumped up Kicks,Foster The People,Torches,2
Wrong Side,French Kicks,One Time Bells,1
Gone Daddy Gone/I Just Want To Make Love To You,Gnarls Barkley,St. Elsewhere,4
Tongue Tied,Grouplove,Never Trust A Happy Song,2
Itchin' On A Photograph,Grouplove,Never Trust A Happy Song,1
Oversleeping,I'm From Barcelona,Let Me Introduce My Friends,1
The Way I Am,Ingrid Michaelson,Girls and Boys,5
Oh Yoko,John Lennon,Rushmore,18
In Spite of Ourselves,"John Prine, Iris DeMent",Cool As Folk,13
Folsom Prison Blues (Live),Johnny Cash,At Folsom Prison,1
Ring Of Fire,Johnny Cash,The Hits,4
Deceptacon,Le Tigre,Le Tigre,1
The Swimming Song (Album Version),Loudon Wainwright III,Attempted Mustache,1
"Dance, Dance, Dance",Lykke Li,Youth Novels,2
Paper Planes,M.I.A.,Kala,10
Daylight,Matt and Kim,Grand,1
Good Ol' Fashion Nightmare,Matt and Kim,Grand,3
King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,1
"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,6
Sleepyhead (Album Version),Passion Pit,Manners,9
1901,Phoenix,Wolfgang Amadeus Phoenix,2
Smoke Detector,Rilo Kiley,Under The Blacklight,9
Call Your Girlfriend,Robyn,Body Talk,8
Dancing On My Own,Robyn,Body Talk Pt. 1,3
I'm Not Gonna Teach Your Boyfriend How to Dance with You,Black Kids,Partie Traumatic,7
Wigwam (Album Version),Bob Dylan,Self Portrait,23
Me and Julio Down by the Schoolyard (Demo - San Francisco 2/71),Paul Simon,Paul Simon,12
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,9
Beast Of Burden,The Rolling Stones,Some Girls (Deluxe Version),9
This Time Tomorrow,The Kinks,The Darjeeling Limited (Original Soundtrack),3
Off To The Races,Lana Del Rey,Born To Die (Deluxe Version),2
Cheek To Cheek,Ella Fitzgerald & Louis Armstrong,The Complete Ella And Louis On Verve,9
Autumn In New York,Ella Fitzgerald & Louis Armstrong,The Complete Ella And Louis On Verve,16
"If You Want To Sing Out, Sing Out",Cat Stevens,Gold,12
Party Rock Anthem,LMFAO,Party Rock Anthem,1
OMG,Usher,Raymond v Raymond,6
Run The World (Girls),Beyoncé,4,12
I'm Real (Murder Remix featuring Ja Rule),Jennifer Lopez,J.Lo,16
Good Feeling,Flo Rida,Good Feeling,1
Glad You Came,The Wanted,Glad You Came,1
Pumped up Kicks,Foster The People,Torches,2
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,1
Halo,Beyoncé,I AM...SASHA FIERCE,2
Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack & Nayer","Give Me Everything feat. Ne-Yo, Afrojack & Nayer",1
Yeah!,Usher,Confessions,2
Dirt Off Your Shoulder,Jay-Z,The Black Album 2,6
Some Nights,fun.,Some Nights,2
Gangnam Style (강남스타일),Psy,Gangnam Style (강남스타일),1
Feeling Good,Muse,Origin Of Symmetry (New 09 version),8
I Turn My Camera On,Spoon,Gimme Fiction,3
The Underdog,Spoon,Ga Ga Ga Ga Ga,7
Buddy Holly,Weezer,Weezer,4
Island In The Sun,Weezer,Weezer (Green Album),4
Whole Wide World,Bahamas,Pink Strat,12
Here It Goes Again,OK Go,Oh No,3
Get Over It,OK Go,Ok Go,1
Saturday In The Park (Remastered Version),Chicago,The Very Best Of: Only The Beginning,10
More Than a Feeling,Boston,Boston,1
Good As New,Vacationer,Gone,2
Wonderful People,Q and Not U,Power,1
Happy Up Here,Röyksopp,Junior,1
Tighten Up,The Black Keys,Brothers,3
Howlin' For You,The Black Keys,Brothers,4
Song 2,Blur,Blur,2
Lights,Ellie Goulding,Lights,1
Break My Stride,Matthew Wilder,I Don't Speak The Language,1
Hawaii (Album Version),Mew,No more stories Are told today I'm sorry They washed away No more stories The world is grey I'm tired Let's wash away,9
I Want You Back,The Jackson 5,Greatest Hits,1
ABC,The Jackson 5,Greatest Hits,2
Be My Baby,The Ronettes,The Phil Spector Collection,27
Age Of Consent,New Order,"Power, Corruption & Lies [Collector's Edition]",1
You! Me! Dancing!,Los Campesinos!,Sticking Fingers Into Sockets,5
California,The Kooks,Naïve,4
My Friends Over You,New Found Glory,Sticks and Stones,2
What's My Age Again?,Blink-182,Enema Of The State,5
In the Mood,Glenn Miller,In the Mood With,6
J'Aime Ta Femme (I Like Your Girl),The Planet Smashers,Mighty,4
Come on Eileen,Save Ferris,It Means Everything,4
Kilojoules,Freelance Whales,Weathervanes,6
Two Weeks,Grizzly Bear,Veckatimest,2
Pentagram,Cake,Motorcade of Generosity,4
Seven Seas Of Rhye,Queen,Greatest Hits 1 & 2,15
Bicycle Race,Queen,Greatest Hits 1 & 2,5
Don't Stop Me Now,Queen,Greatest Hits 1 & 2,7
Bohemian Rhapsody,Queen,Greatest Hits 1 & 2,1
Till the World Ends,Britney Spears,Femme Fatale (Deluxe Version),1
...Baby One More Time,Britney Spears,Baby One More Time,1
Don't You Evah,Spoon,Ga Ga Ga Ga Ga,4
Holiday,Madonna,Celebration (single disc version),5
Vogue,Madonna,Celebration (single disc version),3
Hand In My Pocket,Alanis Morissette,Jagged Little Pill,4
Walking On Sunshine (Digitally Remastered),Katrina & The Waves,Hit Me With Your 80's Box,23
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,2
I Say A Little Prayer,Aretha Franklin,Soul Queen,25
I'm so Excited,The Pointer Sisters,Break Out,3
Breakin' Up,Rilo Kiley,Under The Blacklight,4
Dejalo,Rilo Kiley,Under The Blacklight,7
With Arms Outstretched,Rilo Kiley,The Execution of All Things,10
Go Ahead,Rilo Kiley,Take Offs and Landings,1
Falling Without Knowing,Tilly And The Wall,o,8
Beat Control,Tilly And The Wall,Beat Control,1
Daydream,The Lovin' Spoonful,The Greatest Hits,3
Lately,The Helio Sequence,Keep Your Eyes Ahead,1
Mountain Sound,Of Monsters And Men,My Head Is An Animal,3
Take a Walk,Passion Pit,Gossamer,1
Teenage Dream,Katy Perry,Teenage Dream,1
Teenage Dream,Katy Perry,Teenage Dream,1
Whistle,Flo Rida,Whistle,1
Jamming (US Version),Bob Marley & The Wailers,Legend (Deluxe Edition),25
