Name,Artist,Album,Track Number
Storm,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,1
Static,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,2
Sleep,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,3
Like Antennas To Heaven…,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,4
The Dead Flag Blues,Godspeed You! Black Emperor,F#a#infinity,1
East Hastings,Godspeed You! Black Emperor,F#a#infinity,2
Providence,Godspeed You! Black Emperor,F#a#infinity,3
09-15-00,Godspeed You! Black Emperor,Yanqui U.X.O.,1
09-15-00 (cont.),Godspeed You! Black Emperor,Yanqui U.X.O.,2
rockets fall on Rocket Falls,Godspeed You! Black Emperor,Yanqui U.X.O.,3
motherfucker=redeemer,Godspeed You! Black Emperor,Yanqui U.X.O.,4
motherfucker=redeemer (cont.),Godspeed You! Black Emperor,Yanqui U.X.O.,5
Moya,Godspeed You! Black Emperor,Slow Riot for New Zero Kanada,1
Blaise Bailey Finnegan III,Godspeed You! Black Emperor,Slow Riot for New Zero Kanada,2
