Name,Artist,Album,Track Number
Bombs Away (feat. Morgan Freeman),B.o.B,Strange Clouds,1
We Luv Deez Hoez,Outkast,Stankonia,14
Slow Jamz,Kanye West,The College Dropout,12
Swimming Pools (Drank) (Extended Version),Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",9
Bad Religion,Frank Ocean,channel ORANGE,14
The Ruler's Back,Jay-Z,The Blueprint,1
Reminder,Jay-Z,The Blueprint 3,13
Pursuit Of Happiness (nightmare),Kid Cudi,Man On The Moon: The End Of Day,13
Battery,Aesop Rock,Labor Days,9
Gotta Have It,Jay-Z & Kanye West,Watch The Throne (Deluxe Edition (Explicit)),5
Back That Azz Up,Juvenile,Greatest Hits,4
Make Me Proud,Drake,Take Care (Deluxe Version),10
Everything I Am,Kanye West,Graduation,10
Everything,Murs,Murs For President (Standard Explicit Version),6
Still D.R.E.,Dr. Dre,2001,4
Under Ground Kings,Drake,Take Care (Deluxe Version),8
Alive (nightmare),Kid Cudi,Man On The Moon: The End Of Day,10
SpottieOttieDopaliscious,Outkast,Aquemini,12
Super Rich Kids,Frank Ocean,channel ORANGE,7
Country Grammar (Hot...),Nelly,Country Grammar,4
To The World (Album Version (Edited)),"Kanye West, R. Kelly, Teyana Taylor",Kanye West Presents Good Music Cruel Summer,1
Hard Knock Life (Ghetto Anthem),Jay-Z,Vol.2 ... Hard Knock Life,2
Beef,Mos Def,Rawkus Records - Best of Decade I 1995-2005,8
The Morning,The Weeknd,Trilogy,4
Yonkers,"Tyler, The Creator",Yonkers,1
Swim Good,Frank Ocean,Swim Good,1
Thug Luv,"Bone Thugs-N-Harmony, Tupac",Hip Hop Story: Tha Movie (Soundtrack),2
Get Ur Freak On,Missy Elliott,Miss E...So Addictive,5
Through The Wire,Kanye West,The College Dropout,19
Rosa Parks,Outkast,Aquemini,3
Gone,Kanye West,Late Registration,19
The Greatest Pac-Man Victory In History,Aesop Rock,Bazooka Tooth,11
B-Boy Document '99,The High And Mighty,Rawkus Records - Best of Decade I 1995-2005,15
Notorious Thugs [Featuring Bone Thugs and Harmony] (Explicit Album Version) (feat. Bone Thugs and Harmony Explicit),The Notorious B.I.G.,Greatest Hits,10
Vipassana (Ryan Lewis Remix),Macklemore & Ryan Lewis,VS. Redux,1
Holy Smokes,Aesop Rock,"Fast Cars, Danger, Fire and Knives",4
Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,9
Get By,Talib Kweli,Rawkus Records - Best of Decade I 1995-2005,1
Bus Stop Bitties,Rjd2,The Horror,4
California Love,2Pac,2Pac Greatest Hits,18
Easy,Aesop Rock,Bazooka Tooth,3
Break Ya Neck,Busta Rhymes,Genesis,10
If I Ruled the World (Imagine That),Nas,It Was Written,14
Swim Good,Frank Ocean,Swim Good,1
