Name,Artist,Album,Track Number
Prayer In C (Robin Schulz Remix),"Lillywood, Robin Schulz",Prayer In C,2
Repeat (feat. Jessie J),David Guetta,Nothing But the Beat 2.0,16
Mirrors,Justin Timberlake,The 20/20 Experience,9
Do What U Want,Lady Gaga,ARTPOP,7
You (Ha Ha Ha),Charli XCX,You (Ha Ha Ha),1
Jealous (I Ain't With It),Chromeo,White Women,1
Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo",Skrillex and Diplo present Jack Ü,9
Whistle (While You Work It),Katy Tiz,Whistle (While You Work It),1
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,10
Addicted To A Memory,ZEDD,True Colors,1
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),4
Lean On,Major Lazer,Lean On,1
Latch Featuring Sam Smith,Disclosure featuring Sam Smith,Latch Featuring Sam Smith,1
Sugar,Maroon 5,V (Deluxe),5
One Last Time,Ariana Grande,My Everything (Deluxe),3
Want To Want Me,Jason DeRulo,Everything Is 4,1
Elastic Heart,Sia,1000 Forms Of Fear,8
This Could Be Us,Rae Sremmurd,SremmLife,5
Chandelier,Sia,1000 Forms Of Fear,1
Good For You,Selena Gomez,Good For You,1
Come & Get It,Selena Gomez,Stars Dance,5
New Americana,Halsey,New Americana,1
Can't Feel My Face,The Weeknd,Can’t Feel My Face,1
