Name,Artist,Album,Track Number
Diamond,Klint,Nothing Left of Us,12
Cross The Tracks (We Better Go Back),The J.B.'s,Funky Good Time: The Anthology,26
Disco Science,Mirwais,Production (Deluxe Version),1
Golden Brown,The Stranglers,Feline,5
Dreadlock Holiday,10cc,20th Century Masters: The Millennium Collection: Best Of 10cc,10
"Hot Pants / I'm Coming, I'm Coming",Bobby Byrd,Hot Pants! (The Amazing Bobby Byrd),1
Lucky Star,Madonna,Madonna,1
Ghost Town (Extended Version),The Specials,The Best Of The Specials,16
The Sensual Woman (Instrumental),The Herbaliser,Session 1,3
Angel,Massive Attack,Mezzanine,1
Fuckin' In The Bushes,Oasis,Standing on the Shoulder of Giants,1
Don't You Just Know It,"Huey ""Piano"" Smith",Young Blood,6
Supermoves (Album Version),Overseer,Wreckage,3
"Hot Pants - I'm Coming, I'm Coming",Bobby Byrd,Hot Pants! - The Amazing Bobby Byrd,1
