Name,Artist,Album,Track Number
LISZTOMANIA (ALEX METRIC RMX) (REMIX VERSION),Phoenix,Wolfgang Amadeus Phoenix (Remix Collection),1
The Grid (Remixed By The Crystal Method),Daft Punk,TRON Legacy: Reconfigured,3
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,5
Stratosphere,Digitalism,"I Love You, Dude",1
Click Click (feat. E-40),MSTRKRFT,Fist Of God,8
Trouble for Me,Britney Spears,Femme Fatale (Deluxe Version),9
It's Getting Boring By The Sea,Blood Red Shoes,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),11
Derezzed (Remixed By Avicii),Daft Punk,TRON Legacy: Reconfigured,13
The Sound [John M. Perkins' Blues],Switchfoot,Hello Hurricane (Deluxe),4
The Fire,The Roots,How I Got Over,11
Robot Rock / Oh Yeah,Daft Punk,Alive 2007,1
Again & Again,Roots Manuva,Slime and Reason,1
Clint Eastwood,Gorillaz,Gorillaz,5
Blitz,Digitalism,"I Love You, Dude",4
It Ain't Love (feat. Lil' Mo),MSTRKRFT,Fist Of God,1
Invaders Must Die,The Prodigy,Invaders Must Die Deluxe Album,1
XXXO,M.I.A.,MAYA (Deluxe),3
The Other Side,Pendulum,In Silico,6
Clipping,MuteMath,Armistice,3
Only Girl (In The World),Rihanna,Loud,5
Till the World Ends,Britney Spears,Femme Fatale (Deluxe Version),1
Witness (1 Hope),Roots Manuva,Children Of Men Original Motion Picture Soundtrack,2
Human After All/Together/One More Time/Music Sounds Better With You,Daft Punk,Alive 2007,13
Inside Out,Britney Spears,Femme Fatale (Deluxe Version),3
Omen,The Prodigy,Invaders Must Die Deluxe Album,2
Around The World / Harder Better Faster Stronger,Daft Punk,Alive 2007,5
Falcon Jab,Ratatat,LP3,2
Stronger,Kanye West,Graduation,3
Superheroes,Daft Punk,Discovery,7
Rinzler (Remixed By Kaskade),Daft Punk,TRON Legacy: Reconfigured,9
