Name,Artist,Album,Track Number
Everlasting Light,The Black Keys,Brothers,1
Make Some Noise,Beastie Boys,Hot Sauce Committee Part Two,1
Odd Soul,MuteMath,Odd Soul (Deluxe Version),1
My Mathematical Mind,Spoon,Gimme Fiction,4
Typical,MuteMath,MuteMath,2
Don't You Evah,Spoon,Ga Ga Ga Ga Ga,4
Seven Nation Army,The White Stripes,Elephant,1
Machu Picchu,The Strokes,Angles,1
Blood Pressure,MuteMath,Odd Soul (Deluxe Version),3
Black Like Me,Spoon,Ga Ga Ga Ga Ga,10
I Turn My Camera On,Spoon,Gimme Fiction,3
There's No Home For You Here,The White Stripes,Elephant,3
Clipping,MuteMath,Armistice,3
Chaos,MuteMath,MuteMath,4
Tighten Up,The Black Keys,Brothers,3
