Name,Artist,Album,Track Number
Junk of the Heart (Happy),The Kooks,Junk Of The Heart,1
Guilty (2001 Digital Remaster),Yann Tiersen,Amélie From Montmartre (Original Motion Picture Soundtrack),7
Brand New Colony,The Postal Service,Give Up,9
Dance Me To The End Of Love,Madeleine Peyroux,Careless Love,1
Demons,Imagine Dragons,Continued Silence EP,2
Toothpaste Kisses,The Maccabees,Colour It In (International Version),12
Beautiful Tango,Hindi Zahra,Handmade,1
Begin Again,Space,Tin Planet,1
My Heart Goes Boom,Miss Li,My Heart Goes Boom,1
Hurt,Parov Stelar,Coco Part 1,2
Boring,The Pierces,Thirteen Tales Of Love And Revenge,2
Sticks and Stones,The Pierces,Thirteen Tales Of Love And Revenge,3
Django,"Luis Bacalov, Rocky Roberts",Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,2
People Are Strange (New Stereo Mix Advanced Resolution),The Doors,The Very Best Of [w/bonus tracks],10
Everlasting Light,The Black Keys,Brothers,1
In A Manner Of Speaking,Nouvelle Vague,Nouvelle Vague,3
"In The Cold, Cold Night",The White Stripes,Elephant,5
Theme (Score),Jon Brion,Eternal Sunshine Of The Spotless Mind,1
Fascination,Hindi Zahra,Handmade,3
You Don't Own Me,Lesley Gore,The Best Of,2
Drawn To You,Chinawoman,Show Me the Face,1
I Don't Want To Get Over You,The Magnetic Fields,69 Love Songs,6
505,Arctic Monkeys,Favourite Worst Nightmare,12
Reckoner,Radiohead,In Rainbows,7
"Please, Please, Please Let Me Get What I Want",The Smiths,The Sound Of The Smiths [Deluxe Edition],31
Cornflake Girl,Tori Amos,Under the Pink,8
In A Manner Of Speaking,Nouvelle Vague,Nouvelle Vague,3
There She Goes,Sixpence None The Richer,Sixpence None The Richer,13
Poor Misguided Fool,Starsailor,Love Is Here,2
Sahilde Bir Sarhoş,Teoman,Aşk & Gurur,10
Bekle Bizi Istanbul,Edip Akbayram,Türküler Yanmaz,4
(The Forgotten People),Thievery Corporation,Radio Retaliation,7
Three Thousand,These New Puritans,Hidden,3
Attack Music,These New Puritans,Hidden,5
Neyin Var Bugün,Nil Karaibrahimgil,Tek Tasimi Kendim Aldim,6
Lost In Amsterdam,Parov Stelar,Shine,6
Toxic,"Yael Naim, David Donatien",Yael Naim,11
Know-How,Kings Of Convenience,Riot On An Empty Street,5
