Name,Artist,Album,Track Number
Next Girl,The Black Keys,Brothers,2
Tighten Up,The Black Keys,Brothers,3
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,1
Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare,7
Old Yellow Bricks,Arctic Monkeys,Favourite Worst Nightmare,11
Bohemian Rhapsody,Queen,Greatest Hits 1 & 2,1
Another One Bites The Dust,Queen,Greatest Hits 1 & 2,2
Somebody To Love,Queen,Greatest Hits 1 & 2,10
Gimme Shelter,The Rolling Stones,Let It Bleed,1
All Falls Down,Kanye West,The College Dropout,4
Jesus Walks,Kanye West,The College Dropout,7
"It Ain't Me, Babe",Bob Dylan,The Essential Bob Dylan,4
Only Girl (In The World),Rihanna,Loud,5
...Baby One More Time,Britney Spears,Baby One More Time,1
